Total Time :12.212115316
New or Changed Entity :4051
Test To Run :1211
1 - org.apache.commons.io.FileUtilsTestCase.testMoveFile_CopyDelete_Failed 36  FAILURE Original exists,
150 - org.apache.commons.io.comparator.DirectoryFileComparatorTest.testSortArray 1  SUCCESSFUL 
151 - org.apache.commons.io.filefilter.FileFilterTestCase.testFilterList_fromArray 1  SUCCESSFUL 
152 - org.apache.commons.io.FileUtilsTestCase.testDecodeUrlEncodingUtf8 2  SUCCESSFUL 
153 - org.apache.commons.io.EndianUtilsTest.testCtor 0  SUCCESSFUL 
154 - org.apache.commons.io.IOUtilsCopyTestCase.testCopy_readerToWriter_nullIn 0  SUCCESSFUL 
155 - org.apache.commons.io.input.BOMInputStreamTest.testMarkResetBeforeReadWithoutBOM 0  SUCCESSFUL 
156 - org.apache.commons.io.IOCaseTestCase.test_forName 0  SUCCESSFUL 
157 - org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToExistingDest 8  FAILURE expected:<11> but was:<5566>,
158 - org.apache.commons.io.LineIteratorTestCase.testNextLineOnlyDefaultEncoding 1  FAILURE File does not exist: /Users/demigorgan/Documents/workspace/tldr/test/io/file1-test.txt,
159 - org.apache.commons.io.filefilter.FileFilterTestCase.testDirectory 1  SUCCESSFUL 
160 - org.apache.commons.io.LineIteratorTestCase.testOneLines 3  FAILURE Unable to delete directory /Users/demigorgan/Documents/workspace/tldr/test/io.,
161 - org.apache.commons.io.FilenameUtilsWildcardTestCase.testMatch 0  SUCCESSFUL 
162 - org.apache.commons.io.input.BoundedInputStreamTest.testReadArray 0  SUCCESSFUL 
163 - org.apache.commons.io.LineIteratorTestCase.testFilteringBufferedReader 2  SUCCESSFUL 
164 - org.apache.commons.io.FileDeleteStrategyTestCase.testDeleteQuietlyNormal 4  FAILURE expected:<true> but was:<false>,
165 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_charSequenceToOutputStream_nullStream 1  SUCCESSFUL 
166 - org.apache.commons.io.IOCaseTestCase.test_getName 0  SUCCESSFUL 
167 - org.apache.commons.io.FilenameUtilsTestCase.testNormalizeNoEndSeparatorUnixWin 3  SUCCESSFUL 
168 - org.apache.commons.io.IOCaseTestCase.test_checkEquals_case 0  SUCCESSFUL 
169 - org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterAndLimitD 0  FAILURE [D] Result Size expected:<8> but was:<1>,
170 - org.apache.commons.io.IOUtilsCopyTestCase.testCopy_inputStreamToOutputStream_IO84 127  SUCCESSFUL 
171 - org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterAndLimitC 1  FAILURE [C] Result Size expected:<4> but was:<7>,
172 - org.apache.commons.io.input.TailerTest.testTailer 314  FAILURE 1 line count expected:<2> but was:<0>,
173 - org.apache.commons.io.input.ProxyReaderTest.testNullCharBuffer 0  SUCCESSFUL 
174 - org.apache.commons.io.input.BOMInputStreamTest.testNoBoms 0  SUCCESSFUL 
175 - org.apache.commons.io.IOUtilsWriteTestCase.testWriteLines_Writer_nullStream 0  SUCCESSFUL 
176 - org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterDirAndFile4 5  FAILURE [DirAndFile4] Result Size expected:<2> but was:<0>,
177 - org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterDirAndFile3 0  FAILURE [DirAndFile3] Result Size expected:<6> but was:<1>,
178 - org.apache.commons.io.output.LockableFileWriterTest.testConstructor_File_directory 1  SUCCESSFUL 
179 - org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterDirAndFile2 2  FAILURE [DirAndFile2] Dir[0] src/main/java/org,
180 - org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterDirAndFile1 1  FAILURE [DirAndFile1] Result Size expected:<8> but was:<1>,
181 - org.apache.commons.io.comparator.CompositeFileComparatorTest.testConstructorIterableNull 7  SUCCESSFUL 
182 - org.apache.commons.io.FileUtilsTestCase.testGetTempDirectory 1  FAILURE Unable to delete file: /Users/demigorgan/Documents/workspace/tldr/test/io/file1a-test.txt,
183 - org.apache.commons.io.FilenameUtilsTestCase.testNormalize 3  SUCCESSFUL 
184 - org.apache.commons.io.output.ProxyWriterTest.testNullCharSequencec 1  SUCCESSFUL 
185 - org.apache.commons.io.IOExceptionWithCauseTestCase.testIOExceptionThrowable 1  SUCCESSFUL 
186 - org.apache.commons.io.IOUtilsCopyTestCase.testCopy_inputStreamToWriter_Encoding 1  SUCCESSFUL 
187 - org.apache.commons.io.filefilter.FileFilterTestCase.testFileFilterUtils_or 0  SUCCESSFUL 
188 - org.apache.commons.io.filefilter.FileFilterTestCase.testCanRead 2  SUCCESSFUL 
189 - org.apache.commons.io.input.XmlStreamReaderTest.testRawBom 41  SUCCESSFUL 
190 - org.apache.commons.io.IOCaseTestCase.test_checkCompare_case 0  SUCCESSFUL 
191 - org.apache.commons.io.input.NullReaderTest.testReadCharArray 0  SUCCESSFUL 
192 - org.apache.commons.io.FileUtilsTestCase.testDecodeUrl 2  SUCCESSFUL 
193 - org.apache.commons.io.input.SwappedDataInputStreamTest.testReadBoolean 0  SUCCESSFUL 
194 - org.apache.commons.io.FileUtilsTestCase.testMoveToDirectory_Errors 1  FAILURE Unable to delete file: /Users/demigorgan/Documents/workspace/tldr/test/io/file1-test.txt,
195 - org.apache.commons.io.FileUtilsTestCase.testWriteByteArrayToFile 2  SUCCESSFUL 
196 - org.apache.commons.io.FileUtilsListFilesTestCase.testListFiles 11  SUCCESSFUL 
197 - org.apache.commons.io.EndianUtilsTest.testWriteSwappedShort 0  SUCCESSFUL 
198 - org.apache.commons.io.EndianUtilsTest.testSymmetry 0  SUCCESSFUL 
199 - org.apache.commons.io.comparator.NameFileComparatorTest.testCaseSensitivity 2  SUCCESSFUL 
200 - org.apache.commons.io.FileUtilsTestCase.testCopyToSelf 4  SUCCESSFUL 
201 - org.apache.commons.io.IOCaseTestCase.test_toString 0  SUCCESSFUL 
202 - org.apache.commons.io.FilenameUtilsTestCase.testEquals 5  SUCCESSFUL 
203 - org.apache.commons.io.FileUtilsTestCase.testWriteStringToFileWithEncoding_WithAppendOptionTrue_ShouldNotDeletePreviousFileLines 4  SUCCESSFUL 
204 - org.apache.commons.io.input.BOMInputStreamTest.testSkipWithoutBOM 0  SUCCESSFUL 
205 - org.apache.commons.io.filefilter.FileFilterTestCase.testOr 13  SUCCESSFUL 
206 - org.apache.commons.io.input.SwappedDataInputStreamTest.testReadByte 0  SUCCESSFUL 
207 - org.apache.commons.io.FileUtilsTestCase.testChecksumOnDirectory 2  SUCCESSFUL 
208 - org.apache.commons.io.FileUtilsTestCase.testMoveDirectory_CopyDelete 8  SUCCESSFUL 
209 - org.apache.commons.io.input.BOMInputStreamTest.testLargeBufferWithBOM 0  SUCCESSFUL 
210 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_byteArrayToOutputStream_nullStream 0  SUCCESSFUL 
211 - org.apache.commons.io.FilenameUtilsTestCase.testGetFullPathNoEndSeparator_IO_248 3  SUCCESSFUL 
212 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_byteArrayToOutputStream_nullData 0  SUCCESSFUL 
213 - org.apache.commons.io.DirectoryWalkerTestCase.testMultiThreadCancel 5  FAILURE CancelException not thrown for 'DirectoryWalker.java',
214 - org.apache.commons.io.FileUtilsTestCase.testReadLines 16  FAILURE File '/Users/demigorgan/Documents/workspace/tldr/test/io/lines.txt' does not exist,
215 - org.apache.commons.io.input.SwappedDataInputStreamTest.testReadUnsignedByte 0  SUCCESSFUL 
216 - org.apache.commons.io.input.ReaderInputStreamTest.testLargeUTF8WithBufferedRead 5  SUCCESSFUL 
217 - org.apache.commons.io.output.StringBuilderWriterTest.testWriteString 0  SUCCESSFUL 
218 - org.apache.commons.io.output.WriterOutputStreamTest.testUTF16LEWithBufferedWrite 16  SUCCESSFUL 
219 - org.apache.commons.io.LineIteratorTestCase.testConstructor 1  SUCCESSFUL 
220 - org.apache.commons.io.IOUtilsTestCase.testConstants 1  SUCCESSFUL 
221 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_charArrayToOutputStream_nullStream 0  SUCCESSFUL 
222 - org.apache.commons.io.input.CountingInputStreamTest.testResetting 0  SUCCESSFUL 
223 - org.apache.commons.io.input.BrokenInputStreamTest.testReset 1  SUCCESSFUL 
224 - org.apache.commons.io.filefilter.FileFilterTestCase.testNameFilter 3  SUCCESSFUL 
225 - org.apache.commons.io.IOUtilsCopyTestCase.testCopy_inputStreamToOutputStream_nullIn 0  SUCCESSFUL 
226 - org.apache.commons.io.FilenameUtilsTestCase.testEqualsOnSystem 2  SUCCESSFUL 
227 - org.apache.commons.io.input.ReaderInputStreamTest.testUTF8WithSingleByteRead 0  SUCCESSFUL 
228 - org.apache.commons.io.EndianUtilsTest.testReadSwappedShort 0  SUCCESSFUL 
229 - org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryFiltered 12  SUCCESSFUL 
230 - org.apache.commons.io.filefilter.FileFilterTestCase.testHidden 4  SUCCESSFUL 
231 - org.apache.commons.io.FileDeleteStrategyTestCase.testDeleteForce 3  SUCCESSFUL 
232 - org.apache.commons.io.output.ProxyOutputStreamTest.testWriteNullBaSucceeds 1  SUCCESSFUL 
233 - org.apache.commons.io.IOUtilsCopyTestCase.testCopy_inputStreamToOutputStream 0  SUCCESSFUL 
234 - org.apache.commons.io.filefilter.FileFilterTestCase.testDeprecatedWildcard 3  SUCCESSFUL 
235 - org.apache.commons.io.IOUtilsCopyTestCase.testCopy_readerToWriter 0  SUCCESSFUL 
236 - org.apache.commons.io.IOUtilsWriteTestCase.testWriteLines_OutputStream_Encoding_nullStream 0  SUCCESSFUL 
237 - org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileAboveThreshold 2  SUCCESSFUL 
238 - org.apache.commons.io.FilenameUtilsTestCase.testIndexOfLastSeparator 2  SUCCESSFUL 
